:START_ID,:END_ID,:TYPE
387,54013643,BELONGS_TO
388,54013645,BELONGS_TO
389,54013653,BELONGS_TO
390,54013693,BELONGS_TO
391,54013712,BELONGS_TO
392,54013730,BELONGS_TO
393,54013740,BELONGS_TO
394,54013743,BELONGS_TO
395,54013748,BELONGS_TO
396,54013751,BELONGS_TO
397,54013762,BELONGS_TO
398,54013770,BELONGS_TO
399,54013775,BELONGS_TO
400,54013777,BELONGS_TO
401,54013780,BELONGS_TO
402,54013810,BELONGS_TO
403,54013810,BELONGS_TO
404,54013818,BELONGS_TO
405,54013826,BELONGS_TO
406,54013892,BELONGS_TO
407,54013900,BELONGS_TO
408,54013931,BELONGS_TO
409,54013943,BELONGS_TO
410,54013966,BELONGS_TO
411,54013974,BELONGS_TO
412,54013974,BELONGS_TO
413,54013977,BELONGS_TO
414,54013977,BELONGS_TO
415,54013984,BELONGS_TO
416,54013987,BELONGS_TO
417,54013987,BELONGS_TO
418,54013989,BELONGS_TO
419,54014012,BELONGS_TO
420,54014026,BELONGS_TO
421,54014029,BELONGS_TO
422,54014052,BELONGS_TO
423,54014052,BELONGS_TO
424,54014063,BELONGS_TO
425,54014078,BELONGS_TO
426,54014089,BELONGS_TO
427,54014092,BELONGS_TO
428,54014107,BELONGS_TO
429,54014117,BELONGS_TO
430,54014146,BELONGS_TO
431,54014193,BELONGS_TO
432,54014194,BELONGS_TO
433,54014196,BELONGS_TO
434,54014213,BELONGS_TO
435,54014219,BELONGS_TO
436,54014239,BELONGS_TO
437,54014244,BELONGS_TO
438,54014265,BELONGS_TO
439,54014267,BELONGS_TO
440,54014268,BELONGS_TO
441,54014283,BELONGS_TO
442,54014283,BELONGS_TO
443,54014290,BELONGS_TO
444,54014295,BELONGS_TO
445,54014299,BELONGS_TO
446,54014327,BELONGS_TO
447,54014328,BELONGS_TO
448,54014335,BELONGS_TO
449,54014339,BELONGS_TO
450,54014345,BELONGS_TO
451,54014352,BELONGS_TO
452,54014354,BELONGS_TO
453,54014363,BELONGS_TO
454,54014376,BELONGS_TO
455,54014427,BELONGS_TO
456,54014434,BELONGS_TO
457,54014435,BELONGS_TO
458,54014444,BELONGS_TO
459,54014446,BELONGS_TO
460,54014455,BELONGS_TO
461,54014457,BELONGS_TO
462,54014463,BELONGS_TO
463,54014467,BELONGS_TO
464,54014474,BELONGS_TO
465,54014484,BELONGS_TO
466,54014490,BELONGS_TO
467,54014490,BELONGS_TO
468,54014493,BELONGS_TO
469,54014494,BELONGS_TO
470,54014502,BELONGS_TO
471,54014515,BELONGS_TO
472,54014520,BELONGS_TO
473,54014564,BELONGS_TO
474,54014572,BELONGS_TO
475,54014577,BELONGS_TO
476,54014585,BELONGS_TO
477,54014595,BELONGS_TO
478,54014597,BELONGS_TO
479,54014610,BELONGS_TO
480,54014617,BELONGS_TO
481,54014631,BELONGS_TO
482,54014636,BELONGS_TO
483,54014647,BELONGS_TO
484,54014673,BELONGS_TO
485,54014708,BELONGS_TO
486,54014732,BELONGS_TO
487,54014738,BELONGS_TO
488,54014746,BELONGS_TO
489,54014766,BELONGS_TO
490,54014779,BELONGS_TO
491,54014793,BELONGS_TO
492,54014793,BELONGS_TO
493,54014805,BELONGS_TO
494,54014812,BELONGS_TO
495,54014818,BELONGS_TO
496,54014820,BELONGS_TO
497,54014848,BELONGS_TO
498,54014853,BELONGS_TO
499,54014857,BELONGS_TO
500,54014866,BELONGS_TO
501,54014886,BELONGS_TO
502,54014903,BELONGS_TO
503,54014927,BELONGS_TO
504,54014930,BELONGS_TO
505,54014949,BELONGS_TO
506,54014953,BELONGS_TO
507,54014953,BELONGS_TO
508,54014972,BELONGS_TO
509,54015016,BELONGS_TO
510,54015020,BELONGS_TO
511,54015026,BELONGS_TO
512,54015031,BELONGS_TO
513,54015041,BELONGS_TO
514,54015058,BELONGS_TO
515,54015080,BELONGS_TO
516,54015080,BELONGS_TO
517,54015109,BELONGS_TO
518,54015110,BELONGS_TO
519,54015112,BELONGS_TO
520,54015127,BELONGS_TO
521,54015135,BELONGS_TO
522,54015198,BELONGS_TO
523,54015204,BELONGS_TO
524,54015224,BELONGS_TO
525,54015227,BELONGS_TO
526,54015230,BELONGS_TO
527,54015268,BELONGS_TO
528,54015276,BELONGS_TO
529,54015278,BELONGS_TO
530,54015302,BELONGS_TO
531,54015311,BELONGS_TO
532,54015318,BELONGS_TO
533,54015365,BELONGS_TO
534,54015369,BELONGS_TO
535,54015375,BELONGS_TO
536,54015388,BELONGS_TO
537,54015388,BELONGS_TO
538,54015404,BELONGS_TO
539,54015407,BELONGS_TO
540,54015446,BELONGS_TO
541,54015447,BELONGS_TO
542,54015466,BELONGS_TO
543,54015497,BELONGS_TO
544,54015550,BELONGS_TO
545,54015550,BELONGS_TO
546,54015566,BELONGS_TO
547,54015574,BELONGS_TO
548,54015584,BELONGS_TO
549,54015593,BELONGS_TO
550,54015604,BELONGS_TO
551,54015606,BELONGS_TO
552,54015631,BELONGS_TO
553,54015635,BELONGS_TO
554,54015644,BELONGS_TO
555,54015650,BELONGS_TO
556,54015662,BELONGS_TO
557,54015676,BELONGS_TO
558,54015688,BELONGS_TO
559,54015694,BELONGS_TO
560,54015696,BELONGS_TO
561,54015696,BELONGS_TO
562,54015700,BELONGS_TO
563,54015727,BELONGS_TO
564,54015744,BELONGS_TO
565,54015751,BELONGS_TO
566,54015769,BELONGS_TO
567,54015771,BELONGS_TO
568,54015772,BELONGS_TO
569,54015785,BELONGS_TO
570,54015787,BELONGS_TO
571,54015790,BELONGS_TO
572,54015802,BELONGS_TO
573,54015813,BELONGS_TO
574,54015846,BELONGS_TO
575,54015857,BELONGS_TO
576,54015859,BELONGS_TO
577,54015862,BELONGS_TO
578,54015865,BELONGS_TO
579,54015911,BELONGS_TO
580,54015921,BELONGS_TO
581,54015927,BELONGS_TO
582,54015929,BELONGS_TO
583,54015933,BELONGS_TO
